split,paper_index,title,has_explicit_novelty_claim,claim_text,claim_quote,reason_text,reason_quote,confidence,validation_note
train,0,NLPeer: A Unified Resource for the Computational Study of Peer Review,True,"The authors introduce NLPeer, the first ethically sourced multi-domain corpus of papers and review reports for the computational study of peer review.","To remedy this, we introduce NLPeer– the first ethically sourced multidomain corpus of more than 5k papers and 11k review reports from five different venues.",This resource is novel because the lack of clearly licensed datasets and multi-domain corpora has previously prevented the systematic study of NLP for peer review.,the lack of clearly licensed datasets and multi-domain corpora prevent the systematic study of NLP for peer review.,high,The abstract also mentions a 'novel guided skimming task' as a secondary contribution.
train,1,ReviewRobot: Explainable Paper Review Generation based on Knowledge Synthesis,True,The authors have built a novel system called ReviewRobot that automatically assigns review scores and writes comments for scientific papers.,"To assist human review process, we build a novel ReviewRobot to automatically assign a review score and write comments for multiple categories such as novelty and meaningful comparison.",,,high,"The abstract explicitly states that the 'ReviewRobot' is novel, but it does not provide an explicit sentence explaining why it is novel. It describes the method (using three knowledge graphs), but does not explicitly link this method to the novelty claim."
train,2,ReviVal: Towards Automatically Evaluating the Informativeness of Peer Reviews,True,The authors claim their work is the first of its kind to automatically estimate the informativeness of a peer review report.,"To the best of our knowledge, our work is a first-of-its-kind to automatically estimate the informativeness of a peer review report.",The work is novel because it addresses a task that the authors explicitly describe as new.,Our approach significantly outperforms several intuitive baselines for this novel task.,high,
train,3,Can We Automate Scientific Reviewing?,False,,,,,low,"The abstract describes the work performed, including posing a research question, discussing metrics, collecting a dataset, training models, and presenting findings. However, it does not contain any explicit statements claiming that these contributions are novel or a first of their kind."
train,4,"A Dataset of Peer Reviews (PeerRead): Collection, Insights and NLP Applications",True,The authors present the first publicly available dataset of scientific peer reviews for research purposes.,"We present the first public dataset of scientific peer reviews available for research purposes (PeerRead v1),1 providing an opportunity to study this important artifact.",,,high,The claim is explicitly stated using the phrase 'the first public dataset'. The abstract also makes a second claim about proposing 'two novel NLP tasks'.
train,5,KID-Review: Knowledge-Guided Scientific Review Generation with Oracle Pre-training,True,This paper presents the first step in exploring the design of an automated system for providing a first-pass draft for a machine-assisted human review process.,"In this paper, as a first step, we explore the possibility of designing an automated system, which is not meant to replace humans, but rather providing a first-pass draft for a machine-assisted human review process.",,,high,"The abstract explicitly states 'as a first step' to frame the novelty of the entire exploration, and also presents specific novel contributions like an 'oracle pre-training strategy'."
train,6,ReviewerGPT? An Exploratory Study on Using Large Language Models for Paper Reviewing,False,,,,,low,"The abstract describes an 'exploratory study' investigating the use of LLMs for paper reviewing. It details the methodology and findings but does not contain any explicit claims of novelty, such as being the 'first' study of its kind or introducing a new method."
train,7,Can large language models provide useful feedback on research papers? A large-scale empirical analysis,True,This paper presents a systematic study on the utility of feedback generated by large language models for scientific manuscripts.,"To address this gap, we created an automated pipeline using GPT-4 to provide comments on the full PDFs of scientific papers. We evaluated the quality of GPT-4's feedback through two large-scale studies.",This work is novel because the usefulness of LLM-generated feedback on research papers has not been previously studied in a systematic way.,"However, the utility of LLM-generated feedback has not been systematically studied.",high,The authors explicitly frame their work as a novel contribution by identifying a research gap ('has not been systematically studied') and stating that their work is designed 'To address this gap'.
train,8,GPT4 is Slightly Helpful for Peer-Review Assistance: A Pilot Study,True,The authors claim their findings open new avenues for using machine learning tools to solve resource constraints in peer review.,Our findings open new avenues for leveraging machine learning tools to address resource constraints in peer review.,,,high,The abstract makes an explicit claim about the novel impact of the findings ('open new avenues') rather than claiming to be the 'first' study of its kind. No explicit reason is provided for this novelty.
train,9,"Prophy: An automated reviewer finder to improve the efficiency, diversity and quality of reviews",True,"The authors developed Prophy, a state-of-the-art referee finder capable of identifying expert reviewers for any manuscript in any scientific field within seconds.",At Prophy we have developed a state-of-the-art referee finder that can find experts to review any manuscript from any scientific field in seconds.,The methods are presented as novel because they can ensure the selection of fair and independent experts who are able to review interdisciplinary papers from any discipline.,These methods can ensure fair and independent experts who can review interdisciplinary papers from any discipline.,high,"The abstract explicitly uses the term 'state-of-the-art' to describe the developed referee finder, which is a direct novelty claim."
